MANUFACTURER,BRAND,ITEM,ITEM_DESCRIPTION,CATEGORY,FORMAT,ATTR1,ATTR2,ATTR3
INDS. ALEN,CLORALEX,0000075000592,CLORALEX EL RENDIDOR BOT.PLAST. 250ML NAL. 0000075000592,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,0000075000608,CLORALEX EL RENDIDOR BOT.PLAST. 500ML NAL. 0000075000608,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,0000075000615,CLORALEX EL RENDIDOR BOT.PLAST. 950ML NAL. 0000075000615,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,0000075000622,CLORALEX EL RENDIDOR BOT.PLAST. 2000ML NAL 0000075000622,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,0000075000639,CLORALEX EL RENDIDOR BOT.PLAST. 3750ML NAL 0000075000639,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,0000075000646,CLORALEX FANTASIA FLORAL BOT PLAST 950ML NAL 0000075000646,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
INDS. ALEN,CLORALEX,0000075000653,CLORALEX FANTASIA FLORAL BOT PLAST 2000 ML NAL 0000075000653,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
INDS. ALEN,CLORALEX,0000075000677,CLORALEX FRESCURA CITRICA  BOT PLAST 950ML NAL 0000075000677,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
INDS. ALEN,CLORALEX,0000075000684,CLORALEX FRESCURA CITRICA BOT PLAST 2000ML NAL 0000075000684,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
QUIMICA GONCAL,PATITO,0000075010539,PATITO BOTELLA 245 ML. 0000075010539,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
RECKITT,LYSOL,0019200958714,LYSOL SANITIZANTE DE ROPA CRISP LINEN BOT 1.2 LT 0019200958714,1,LIQUIDO,SANITIZANTE,SANITIZANTE,SANITIZANTE
P&G,TIDE,0037000018704,9TIDE LIPIADOR DE ROPA QUITAMANCHAS PLUMON 10 ML IMP 0037000018704,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
P&G,TIDE,0037000213215,9TIDE ADIVITO QUITAMANCHAS 220 GR 0037000213215,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS
P&G,TIDE,0037000830870,9TIDE BOOST VIVID WHITE + BRIGHT BOL 18CAP = 400GR IMP 0037000830870,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS
P&G,TIDE,0037000889281,TIDE MULTI PURPOSE OXI STAIN REMOVER BOT 1.72KG 0037000889281,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0041380309109,9VALUE CLORO SPECIAL BOT PLAST 3780ML 0041380309109,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0041380309116,SPECIAL VALUE CLORO BLANQUEADOR REGULAR BOT  3.79 LT 0041380309116,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
ARTIC WHITE,ARTIC WHITE,0041596020959,9ARCTIC WHITE FRESCO BOT.PLAS 3.79ML MP 0041596020959,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
INDS. ALEN,CLORALEX,0043152007114,CLORALEX COLOR VINEGAR POWER BOTE 1.8LT 0043152007114,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,COLOR PODER VINAGRE
CLOROX,CLOROX,0044600002033,9CLOROX REGULAR BOT.PLA 946ML IMP 0044600002033,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
CLOROX,CLOROX,0044600016924,CLOROX ULTIMATE  CARE BOTELLA 887 ML IMP 0044600016924,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
CLOROX,CLOROX,0044600305974,CLOROX 2 STAIN FIGTHER REMOVER PEN FOR COLORS GEL 56GR 0044600305974,1,LIQUIDO,PRELAVADOR,FABRIC TREATMENT,PRE LAVADOR
CLOROX,CLOROX,0044600306414,CLOROX 2 QUITAMANCHAS ROPA COLOR C/ROCIADOR 887ML 0044600306414,1,LIQUIDO,PRELAVADOR,FABRIC TREATMENT,QUITAMANCHAS
CLOROX,CLOROX,0044600312804,CLOROX 2 DARKS&DENIM STAIN REMOVER BOT 975ML 0044600312804,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,ROPA COLOR
CLOROX,CLOROX,0044600313429,CLOROX CONTROL BLEACH CRYSTALS REGULAR SCENT BOT 680GR 0044600313429,1,POLVO,CLORO,CLORO,NO DEFINIDO
CLOROX,CLOROX,0044600313436,CLOROX CONTROL BLEACH CRYSTALS FRESH MEADOW SCENT BOT 680GR 0044600313436,1,POLVO,CLORO,CLORO,OTR. TIPOS
CLOROX,CLOROX,0044600313719,CLOROX CONTROL BLEACH 12 PODS CLORO EN POLVO BOT 252GR 0044600313719,1,POLVO,CLORO,CLORO,NO DEFINIDO
SC JOHNSON,SHOUT,0046500022517,SHOUT TRIPLE ACCION LAUNDRY STAIN REMOVER BOT C/ATOM 650 ML 0046500022517,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
SC JOHNSON,SHOUT,0046500022692,SHOUT ADVANCED LAUNDRY STAIN REMOVER ULTRA CONC GEL BOT246GR 0046500022692,1,GEL,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
SC JOHNSON,SHOUT,0046500022746,SHOUT TRIPLE ACCION LAUNDRY/STAIN REMOVER BOTELLA 1.77 LT 0046500022746,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
SC JOHNSON,SHOUT,0046500222979,SHOUT ADVANCED LAUNDRY STAIN REMOVER GEL BOT C/ATOM 414ML 0046500222979,1,GEL,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
SC JOHNSON,SHOUT,0046500729355,SHOUT LAUNDRY STAIN REMOVER BOTELLA C/ATOMIZADOR 650 ML 0046500729355,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0048155906310,POWER HOUSE BLANQUEADOR REGULAR BOT.PLAS 22OZ=651ML IMP 0048155906310,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
WHITE MAGIC,WHITE MAGIC,0079893431208,9WHITE MAGIC BOT.PLAS 3970ML IMP 0079893431208,1,LIQUIDO,,CLORO,
INDS. ALEN,CLORALEX,0123456808218,CLORALEX REGULAR BOT 950 ML NAL 0123456808218,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
FAB. DE JABON LA REINERA,MARIPOSA,0602925200017,MARIPOSA DESMANCHADOR Y ABRILL.ROPA BLAN/COLOR BOTE150GR NAL 0602925200017,1,POLVO,CLORO,CLORO,OTR. TIPOS
FAB. DE JABON LA REINERA,MARIPOSA,0602925200031,MARIPOSA POLVO 500GR 0602925200031,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0612464080148,DON CLORINO CLORO POLVO CONCENTRADO CAJA 8SOB 7GR C/U=56GR 0612464080148,1,POLVO,CLORO,CLORO,NO DEFINIDO
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0616533000525,BOGAMAR CLORO BOT PLAS 980ML NAL 0616533000525,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0616533000532,BOGAMAR BOTELLA 3750 ML NAL 0616533000532,1,LIQUIDO,CLORO,CLORO,OTR. TIPOS
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0722429128034,LA S TOTALLY AWESOME BLANQ. REGULAR GALON 3780 ML 0722429128034,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0732913227013,SEVENTH GENERATION CLORO LIBRE DE BLANQUEADOR GALON 1.89LT 0732913227013,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0737128047005,LA ANITA BLANQUEADOR REGULAR 3.785ML GALON NAL 0737128047005,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0737128127004,LA ANITA BOT.PLAST. 1000ML NAL 0737128127004,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
OTHERS FABRICANTE UNIF.,OTHERS MARCA UNIF.,0737128247009,LA ANITA BOT.PLAST. 500ML NAL. 0737128247009,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
CLARASOL,CLARASOL,0741120000005,CLARASOL BLANQUEADOR REGULAR BOT PLAST 1LT NAL 0741120000005,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
CLARASOL,CLARASOL,0741120000012,CLARASOL BLANQUEADOR REGULAR BOT PLAST 500ML NAL 0741120000012,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
CLARASOL,CLARASOL,0741120000029,CLARASOL REGULAR SIN AROMA GARRAFON 3.785 LT 0741120000029,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
CLARASOL,CLARASOL,0741120000036,CLARASOL BLANQUEADOR REGULAR BOT PLAS 1850 ML 0741120000036,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
CLARASOL,CLARASOL,0741120000746,CLARASOL GEL PODER CONCENTRADO BOT PLAS 1L 0741120000746,1,GEL,CLORO,CLORO,MULTIUSOS
CLARASOL,CLARASOL,0741120010011,CLARASOL BOT.PLAST. 1000ML NAL 0741120010011,1,LIQUIDO,CLORO,CLORO,NO DEFINIDO
CHURCH & DWIGHT,OXI CLEAN,0757037000489,OXI CLEAN MAX FORCE REMOVEDOR/MANCHAS BOT. PLAST 266.16ML 0757037000489,1,LIQUIDO,PRELAVADOR,FABRIC TREATMENT,PRE LAVADOR
CHURCH & DWIGHT,OXI CLEAN,0757037512449,OXI CLEAN MAX FORCE REMOVEDOR DE MANCHAS BOT. PLAST 354 ML 0757037512449,1,LIQUIDO,PRELAVADOR,FABRIC TREATMENT,PRE LAVADOR
CHURCH & DWIGHT,OXI CLEAN,0757037513552,OXI CLEAN MAX FORCE GEL STICK REMOVEDOR D/MANCHAS 1PZA 175GR 0757037513552,1,GEL,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
CHURCH & DWIGHT,OXI CLEAN,0757037514016BP1,9OXI CLEAN ELIMINADOR D/MANCHAS BOTE PLAST. 1580 GR IMP. 0757037514016BP1,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,QUITAMANCHAS
CHURCH & DWIGHT,OXI CLEAN,0757037516935,OXI CLEAN REMOVEDOR DE MANCHAS BOTE 636ML 0757037516935,1,LIQUIDO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
CHURCH & DWIGHT,OXI CLEAN,0757037517123,OXI CLEAN LIQ.BOT. 635 ML 0757037517123,1,LIQUIDO,PRELAVADOR,FABRIC TREATMENT,PRE LAVADOR
CHURCH & DWIGHT,OXI CLEAN,0757037517499,OXI CLEAN REMOVEDOR DE MANCHAS BOT. 453 GR 0757037517499,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,OTR. TIPOS
CHURCH & DWIGHT,OXI CLEAN,0757037517611,9OXICLEAN ELIMINADOR DE MANCHAS BOTE 750 GR IMP 0757037517611,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
GRUPO AC MARCAS,SANYTOL,3045200760009,SANYTOL DESINFECTANTE DE ROPA BOT 500 ML 3045200760009,1,LIQUIDO,SANITIZANTE,SANITIZANTE,SANITIZANTE
GRUPO AC MARCAS,SANYTOL,3045206360609,SANYTOL DESINFECTANTE DE ROPA BOT 1 LT 3045206360609,1,LIQUIDO,SANITIZANTE,SANITIZANTE,SANITIZANTE
GRUPO AC MARCAS,SANYTOL,3045206382007,SANYTOL QUITAMANCHAS DESINFECTANTE POLVO BOT 450GR 3045206382007,1,POLVO,SAFE BLEACH,FABRIC TREATMENT,PRE LAVADOR
DELTA PRONATURA,DR.BECKMANN,4008455394015,DR BECKMANN EL MAGO QUITAMANCHAS 4 LIQUIDO BOT 50ML IMP 4008455394015,1,LIQUIDO,PRELAVADOR,FABRIC TREATMENT,PRE LAVADOR
DELTA PRONATURA,DR.BECKMANN,4008455394114,DR BECKMANN EL MAGO QUITAMANCHAS 2 LIQUIDO BOT 50ML IMP 4008455394114,1,LIQUIDO,PRELAVADOR,FABRIC TREATMENT,PRE LAVADOR
DELTA PRONATURA,DR.BECKMANN,4008455394213,DR BECKMANN EL MAGO QUITAMANCHAS 8 LIQUIDO BOT 50ML IMP 4008455394213,1,LIQUIDO,PRELAVADOR,FABRIC TREATMENT,PRE LAVADOR
